"ID"	"Gene.title"	"Gene.symbol"	"Gene.ID"	"UniGene.title"	"UniGene.symbol"	"UniGene.ID"	"Nucleotide.Title"	"GI"	"GenBank.Accession"	"Platform_CLONEID"	"Platform_ORF"	"Platform_SPOTID"	"Chromosome.location"	"Chromosome.annotation"	"GO.Function"	"GO.Process"	"GO.Component"	"GO.Function.ID"	"GO.Process.ID"	"GO.Component.ID"	"acute.control"	"control.latent"	"control.chronic"	"AveExpr"	"F"	"P.Value"	"adj.P.Val"	"logFC"	"rank_by_logFC"
102053	"centromere protein I"	"Cenpi"	"25448"	""	""	""	"Rattus norvegicus centromere protein I (Cenpi), mRNA"	"6978854"	"NM_012955"	NA	NA	""	"Xq34"	"Chromosome X, NC_005120.4 (105147061..105198798)"	""	"centromere complex assembly///follicle-stimulating hormone signaling pathway"	"cytoplasm///cytoplasm///kinetochore///kinetochore///nucleus///nucleus"	""	"GO:0034508///GO:0042699"	"GO:0005737///GO:0005737///GO:0000776///GO:0000776///GO:0005634///GO:0005634"	1.50916401706667	-0.351106102666666	-0.0486673574666664	1.00951093766667	44.0549972331657	1.21421447569333e-07	0.000146370114391896	0.580093065748795	50
196061	""	""	""	"Transcribed locus"	""	"Rn.14945"	"UI-R-BJ1-ats-a-08-0-UI.s1 UI-R-BJ1 Rattus norvegicus cDNA clone UI-R-BJ1-ats-a-08-0-UI 3-, mRNA sequence"	"8492014"	"BE100127"	NA	NA	""	""	""	""	""	""	""	""	""	1.7193972752	-0.4177508844	-0.0563777037999995	3.17855720283333	43.4261066575274	1.33588692991485e-07	0.000146370114391896	-0.886469126974375	24
76106	"acyl-CoA thioesterase 1"	"Acot1"	"50559"	""	""	""	"Rattus norvegicus acyl-CoA thioesterase 1 (Acot1), mRNA"	"970259762"	"NM_031315"	NA	NA	""	"6q31"	"Chromosome 6, NC_005105.4 (107485088..107493082)"	"acyl-CoA hydrolase activity///carboxylic ester hydrolase activity///palmitoyl-CoA hydrolase activity///thiolester hydrolase activity"	"acyl-CoA metabolic process///lipid metabolic process"	"cytosol"	"GO:0047617///GO:0052689///GO:0016290///GO:0016790"	"GO:0006637///GO:0006629"	"GO:0005829"	3.64348047293333	-1.99906976633333	-0.233806949333332	4.46394902094444	43.0905467790281	1.40643206877068e-07	0.000147612109092994	-0.29300329278124	70
35111	""	""	""	"Transcribed locus, strongly similar to XP_003754424.1 PREDICTED: kinetochore..."	""	"Rn.162984"	"UI-R-BJ1-atf-h-07-0-UI.s1 UI-R-BJ1 Rattus norvegicus cDNA clone UI-R-BJ1-atf-h-07-0-UI 3-, mRNA sequence///UI-R-CU0-bvd-a-12-0-UI.s1 UI-R-CU0 Rattus norvegicus cDNA clone UI-R-CU0-bvd-a-12-0-UI 3-, mRNA sequence"	"8490938///13301938"	"BE099062///BG377466"	NA	NA	""	""	""	""	""	""	""	""	""	2.79864740373333	-0.685254066533334	-0.276107084733333	2.3084736865	42.9149518814752	1.4450257933768e-07	0.000147612109092994	0.277790448259003	71
280082	""	""	""	"Transcribed locus"	""	"Rn.116386"	"UI-R-FS0-cqo-i-03-0-UI.s1 NCI_CGAP_FS0 Rattus norvegicus cDNA clone IMAGE:7356077 3-, mRNA sequence"	"24999532"	"CA508578"	NA	NA	""	""	""	""	""	""	""	""	""	5.76836390886667	-1.12787867606667	-0.144582301066667	2.35699743688889	42.7708405142871	1.47759868961956e-07	0.000147612109092994	1.29121199304131	6
214052	""	""	""	"Transcribed locus"	""	"Rn.11429"	"UI-R-FF0-cph-j-20-0-UI.s1 NCI_CGAP_FF0 Rattus norvegicus cDNA clone UI-R-FF0-cph-j-20-0-UI 3-, mRNA sequence"	"23723228"	"BU759559"	NA	NA	""	""	""	""	""	""	""	""	""	0.933537219066666	-0.247175504066667	0.0443792795333334	0.680603247111111	42.2317940147336	1.6070401861774e-07	0.000155956362753433	0.455893507889974	62
47018	"serpin family G member 1"	"Serping1"	"295703"	""	""	""	"Rattus norvegicus serpin family G member 1 (Serping1), mRNA"	"40018557"	"NM_199093"	NA	NA	""	"3q24"	"Chromosome 3, NC_005102.4 (72161230..72171109, complement)"	"complement binding///molecular_function///serine-type endopeptidase inhibitor activity///serine-type endopeptidase inhibitor activity///serine-type endopeptidase inhibitor activity"	"aging///biological_process///blood coagulation///complement activation, classical pathway///fibrinolysis///innate immune response///negative regulation of complement activation, lectin pathway///negative regulation of complement activation, lectin pathway///negative regulation of endopeptidase activity"	"blood microparticle///blood microparticle///extracellular exosome///extracellular exosome///extracellular space///extracellular space"	"GO:0001848///GO:0003674///GO:0004867///GO:0004867///GO:0004867"	"GO:0007568///GO:0008150///GO:0007596///GO:0006958///GO:0042730///GO:0045087///GO:0001869///GO:0001869///GO:0010951"	"GO:0072562///GO:0072562///GO:0070062///GO:0070062///GO:0005615///GO:0005615"	10.4083171493333	-14.1355973593333	-11.4437058073333	11.5570122735556	41.4772401799733	1.81041422502801e-07	0.000166196025857571	-0.151031651713045	82
160006	""	""	""	"Transcribed locus"	""	"Rn.43975"	"UI-R-C2p-ru-a-08-0-UI.s1 UI-R-C2p Rattus norvegicus cDNA clone UI-R-C2p-ru-a-08-0-UI 3-, mRNA sequence"	"4399171"	"AI501320"	NA	NA	""	""	""	""	""	""	""	""	""	0.5791586942	-0.3318878798	-0.2593853472	0.815757444111111	40.8510884717425	2.00152076850314e-07	0.000172316376957488	-0.494181534966411	59
174033	"cyclin-dependent kinase 1"	"Cdk1"	"54237"	""	""	""	"Rattus norvegicus cyclin-dependent kinase 1 (Cdk1), mRNA"	"9506474"	"NM_019296"	NA	NA	""	"20p11"	"Chromosome 20, NC_005119.4 (20576343..20591510)"	"ATP binding///Hsp70 protein binding///Hsp70 protein binding///RNA polymerase II carboxy-terminal domain kinase activity///RNA polymerase II carboxy-terminal domain kinase activity///chromatin binding///cyclin binding///cyclin-dependent protein serine/threonine kinase activity///cyclin-dependent protein serine/threonine kinase activity///histone kinase activity///histone kinase activity///kinase activity///protein binding///protein kinase activity///protein serine/threonine kinase activity///protein serine/threonine kinase activity"	"Golgi disassembly///apoptotic process///cell aging///cell division///cell proliferation///cellular response to hydrogen peroxide///chromosome condensation///epithelial cell differentiation///epithelial cell differentiation///histone phosphorylation///mitotic G2 DNA damage checkpoint///mitotic G2 DNA damage checkpoint///mitotic cell cycle///mitotic cell cycle phase transition///mitotic nuclear division///negative regulation of apoptotic process///negative regulation of apoptotic process///organ regeneration///peptidyl-serine phosphorylation///peptidyl-serine phosphorylation///peptidyl-serine phosphorylation///peptidyl-threonine phosphorylation///peptidyl-threonine phosphorylation///positive regulation of DNA replication///positive regulation of cardiac muscle cell proliferation///positive regulation of gene expression///positive regulation of mitotic cell cycle///positive regulation of protein import into nucleus, translocation///positive regulation of protein localization to nucleus///protein complex assembly///protein localization to kinetochore///protein localization to kinetochore///protein phosphorylation///response to activity///response to amine///response to axon injury///response to cadmium ion///response to copper ion///response to drug///response to ethanol///response to hydrogen peroxide///response to organic cyclic compound///response to organonitrogen compound///response to toxic substance///ventricular cardiac muscle cell development"	"centrosome///centrosome///cytoplasm///cytoplasm///extracellular exosome///extracellular exosome///membrane///membrane///midbody///midbody///mitochondrion///mitotic spindle///mitotic spindle///nuclear chromosome, telomeric region///nuclear chromosome, telomeric region///nucleus///nucleus///spindle microtubule///spindle microtubule"	"GO:0005524///GO:0030544///GO:0030544///GO:0008353///GO:0008353///GO:0003682///GO:0030332///GO:0004693///GO:0004693///GO:0035173///GO:0035173///GO:0016301///GO:0005515///GO:0004672///GO:0004674///GO:0004674"	"GO:0090166///GO:0006915///GO:0007569///GO:0051301///GO:0008283///GO:0070301///GO:0030261///GO:0030855///GO:0030855///GO:0016572///GO:0007095///GO:0007095///GO:0000278///GO:0044772///GO:0007067///GO:0043066///GO:0043066///GO:0031100///GO:0018105///GO:0018105///GO:0018105///GO:0018107///GO:0018107///GO:0045740///GO:0060045///GO:0010628///GO:0045931///GO:0033160///GO:1900182///GO:0006461///GO:0034501///GO:0034501///GO:0006468///GO:0014823///GO:0014075///GO:0048678///GO:0046686///GO:0046688///GO:0042493///GO:0045471///GO:0042542///GO:0014070///GO:0010243///GO:0009636///GO:0055015"	"GO:0005813///GO:0005813///GO:0005737///GO:0005737///GO:0070062///GO:0070062///GO:0016020///GO:0016020///GO:0030496///GO:0030496///GO:0005739///GO:0072686///GO:0072686///GO:0000784///GO:0000784///GO:0005634///GO:0005634///GO:0005876///GO:0005876"	5.10358730613333	-1.35013155933333	-0.230338766333333	2.29964023616667	38.9829763411824	2.72262314757826e-07	0.000209019628559947	1.15010349394799	12
281050	"kinetochore-localized astrin/SPAG5 binding protein"	"Knstrn"	"311325"	""	""	""	"Rattus norvegicus kinetochore-localized astrin/SPAG5 binding protein (Knstrn), mRNA"	"51948503"	"NM_001004264"	NA	NA	""	"3q35"	"Chromosome 3, NC_005102.4 (110618257..110638024)"	""	"cell division///chromosome segregation///chromosome segregation///mitotic sister chromatid segregation///mitotic sister chromatid segregation///regulation of attachment of spindle microtubules to kinetochore///regulation of attachment of spindle microtubules to kinetochore///spindle organization///spindle organization"	"condensed chromosome kinetochore///cytoplasm///cytoplasm///kinetochore///kinetochore///microtubule cytoskeleton///microtubule plus-end///microtubule plus-end///mitotic spindle///mitotic spindle///nucleus///spindle pole"	""	"GO:0051301///GO:0007059///GO:0007059///GO:0000070///GO:0000070///GO:0051988///GO:0051988///GO:0007051///GO:0007051"	"GO:0000777///GO:0005737///GO:0005737///GO:0000776///GO:0000776///GO:0015630///GO:0035371///GO:0035371///GO:0072686///GO:0072686///GO:0005634///GO:0000922"	0.987259506533333	-0.317420575333333	-0.0359106119333333	0.4729667685	38.8781743460523	2.77108652434505e-07	0.000209019628559947	1.06169053400771	14
